ID_Cliente;Idade;Renda;Categoria
2289;37.757824229883795;7399.068670210834;Vestuário
8293;31.107184578806876;5957.378507404243;Vestuário
2344;;6569.997751083259;Vestuário
8291;34.75571461013392;4135.43329901273;Eletrônicos
5829;48.084871545168376;4034.50516545508;Móveis
2520;61.62577473831105;3037.1490394773696;Móveis
7400;38.427263987621004;6449.659581811238;Eletrônicos
6648;43.72630165412905;3874.0278904701754;Eletrônicos
5452;;4370.365420496413;Móveis
1239;;4469.724456218473;
3443;39.830161298184706;4605.028749852861;Eletrônicos
3102;44.76906030686802;246.4844444819655;Vestuário
4416;43.46841286198217;2647.4019199099293;Vestuário
8290;36.5665175697727;5861.301987301017;Vestuário
1574;33.45478225274732;1468.8134972592366;Eletrônicos
9036;53.30147150180045;7428.227102139764;Eletrônicos
7899;44.29111295543352;5911.5402119584005;Móveis
1409;48.825374867213995;3933.6538548137532;Vestuário
2406;28.47738641457855;4759.12450204863;Móveis
1653;;4761.889511027026;Vestuário
4932;20.411556236912098;6398.600135023335;Móveis
2366;39.776489442639594;5638.340485703698;Vestuário
9281;35.29400794104725;7276.883365753432;Vestuário
3700;36.61812786149755;8153.690985395377;Móveis
8489;30.890763982342108;7303.287407672658;
2828;44.308356346633865;4568.961233670839;Vestuário
1283;40.382686483345054;6022.691895267706;Móveis
9285;36.951927961171904;5073.062013300639;Vestuário
8063;55.65625718141938;6209.314496213572;Eletrônicos
3654;;-2.6220111690790873;Vestuário
5491;36.833184178720735;1808.4847150803603;
8561;;9912.615646827726;Vestuário
7159;15.12895850613831;5952.847961819687;Vestuário
4602;;8083.06675899649;Móveis
1630;30.186054483712454;7216.661007682254;Eletrônicos
6191;26.890881893732576;3774.3566050104337;Eletrônicos
4416;33.911264547035664;3854.5421524547373;Móveis
2681;53.20780653707214;5549.550225491919;Eletrônicos
2159;40.14069944618611;5142.370740879733;Eletrônicos
7859;32.65332538382964;2810.1280273910725;Eletrônicos
9988;24.14421361526924;1582.2298311946852;Móveis
7945;44.517459641149856;6138.292486403517;Móveis
3810;32.6960778670538;6877.3361853806855;Móveis
1044;53.69987824433188;1907.2299871658365;Eletrônicos
3693;;4946.588436955758;Eletrônicos
3052;49.33636526236333;9413.123732079068;Eletrônicos
8512;39.72639428574271;3718.5341137731994;Eletrônicos
6976;35.75658919913848;5169.471656661846;Eletrônicos
8350;;5295.162108897146;Vestuário
1360;;7927.046708992579;Móveis
3703;34.73077360652814;3907.928383482655;Móveis
4069;;2969.1581829932265;Móveis
2270;16.151498276495225;8479.534184350774;Móveis
3645;27.824877839984545;6094.651394554536;Vestuário
7768;26.820636238485335;2640.5219370695945;Móveis
